"Company","Parameter","Estimate","StdError","t_value","p_value"
"EDP","mu",0.25688,0.07456,3.4454,6e-04
"EDP","omega",0.4168,0.22583,1.8457,0.0649
"EDP","alpha1",0.2077,0.11097,1.8716,0.0613
"EDP","beta1",0.65422,0.12653,5.1703,0
"EDP","shape",3.41641,0.81846,4.1742,0
"GALP","mu",0.19236,0.08795,2.1872,0.0287
"GALP","omega",0.47729,0.2606,1.8315,0.067
"GALP","alpha1",-0.06653,0.12329,-0.5396,0.5894
"GALP","beta1",0.62118,0.17803,3.4891,5e-04
"GALP","gamma1",0.21667,0.16461,1.3163,0.1881
"GALP","shape",3.07126,0.65007,4.7245,0
"MOTA","mu",0.13971,0.17292,0.808,0.4191
"MOTA","omega",3.07104,2.1689,1.4159,0.1568
"MOTA","alpha1",0.24016,0.12778,1.8795,0.0602
"MOTA","beta1",0.42235,0.30782,1.3721,0.17
"MOTA","shape",5.10416,1.73331,2.9447,0.0032
"NAVIGATOR","mu",0.06869,0,15276.3879,0
"NAVIGATOR","omega",0.01487,0,15325.7034,0
"NAVIGATOR","alpha1",0.08668,1e-05,11268.6787,0
"NAVIGATOR","beta1",0.97073,5e-05,18095.2822,0
"NAVIGATOR","gamma1",-0.16916,0.00051,-328.8652,0
"NAVIGATOR","shape",5.16614,0.00033,15687.513,0
